path,label
../img/pos/Im034_1.tif180.png,1
../img/neg/Im133_0.tif,0
../img/pos/Im029_1.tif90.png,1
../img/neg/Im136_0.tif,0
../img/neg/Im158_0.tif90.png,0
../img/pos/Im023_1.tif90.png,1
../img/neg/Im132_0.tif180.png,0
../img/pos/Im016_1.tiff.png,1
../img/neg/Im159_0.tif,0
../img/neg/Im147_0.tif90.png,0
../img/pos/Im028_1.tif90.png90.png,1
../img/pos/Im001_1.tif,1
../img/pos/Im008_1.tif270.png,1
../img/pos/Im011_1.tif180.png,1
../img/pos/Im010_1.tiff.png,1
../img/neg/Im148_0.tif,0
../img/pos/Im035_1.tif180.png,1
../img/pos/Im033_1.tiff.png,1
../img/pos/Im028_1.tif180.png270.png,1
../img/neg/Im132_0.tif90.png,0
../img/pos/Im028_1.tif180.png90.png,1
../img/pos/Im034_1.tiff.png,1
../img/pos/Im008_1.tif90.png,1
../img/pos/Im001_1.tiff.png,1
../img/pos/Im016_1.tif,1
../img/pos/Im016_1.tif180.png,1
../img/neg/Im139_0.tif90.png,0
../img/neg/Im132_0.tif,0
../img/neg/Im140_0.tif180.png,0
../img/pos/Im014_1.tif,1
../img/neg/Im159_0.tif180.png,0
../img/pos/Im017_1.tif90.png,1
../img/pos/Im033_1.tif90.png,1
../img/pos/Im011_1.tiff.png,1
../img/pos/Im028_1.tif180.png180.png,1
../img/pos/Im034_1.tif90.png,1
../img/pos/Im029_1.tiff.png,1
../img/pos/Im014_1.tif270.png,1
../img/pos/Im017_1.tif,1
../img/pos/Im007_1.tif180.png,1
../img/pos/Im023_1.tif,1
../img/pos/Im023_1.tif180.png,1
../img/neg/Im158_0.tif270.png,0
../img/neg/Im166_0.tif90.png,0
../img/pos/Im034_1.tif,1
../img/pos/Im028_1.tif90.png270.png,1
../img/neg/Im147_0.tif,0
../img/neg/Im159_0.tif90.png,0
../img/pos/Im011_1.tif,1
../img/neg/Im165_0.tif90.png,0
../img/pos/Im007_1.tiff.png,1
../img/pos/Im028_1.tif90.png,1
../img/neg/Im166_0.tif,0
../img/neg/Im150_0.tif180.png,0
../img/pos/Im014_1.tif180.png,1
../img/pos/Im014_1.tif90.png,1
../img/pos/Im007_1.tif90.png,1
../img/pos/Im011_1.tif90.png,1
../img/pos/Im014_1.tiff.png,1
../img/pos/Im001_1.tif270.png,1
../img/neg/Im166_0.tif270.png,0
../img/pos/Im008_1.tiff.png,1
../img/pos/Im028_1.tif,1
../img/pos/Im016_1.tif90.png,1
../img/pos/Im010_1.tif270.png,1
../img/neg/Im147_0.tif180.png,0
../img/pos/Im017_1.tif270.png,1
../img/neg/Im158_0.tif180.png,0
../img/neg/Im159_0.tif270.png,0
../img/pos/Im007_1.tif,1
../img/pos/Im016_1.tif270.png,1
../img/neg/Im150_0.tif270.png,0
../img/pos/Im023_1.tif270.png,1
../img/neg/Im149_0.tif90.png,0
../img/neg/Im160_0.tif180.png,0
../img/neg/Im140_0.tif,0
../img/pos/Im035_1.tif270.png,1
../img/pos/Im017_1.tiff.png,1
../img/neg/Im161_0.tif270.png,0
../img/neg/Im147_0.tif270.png,0
../img/neg/Im132_0.tif270.png,0
../img/pos/Im028_1.tif270.pngf.png,1
../img/neg/Im157_0.tif180.png,0
../img/neg/Im136_0.tif180.png,0
../img/pos/Im007_1.tif270.png,1
../img/neg/Im161_0.tif180.png,0
../img/pos/Im011_1.tif270.png,1
../img/neg/Im136_0.tif270.png,0
../img/pos/Im028_1.tif90.png180.png,1
../img/pos/Im035_1.tif,1
../img/pos/Im010_1.tif180.png,1
../img/neg/Im157_0.tif90.png,0
../img/neg/Im135_0.tif90.png,0
../img/pos/Im008_1.tif180.png,1
../img/neg/Im157_0.tif,0
../img/neg/Im157_0.tif270.png,0
../img/neg/Im136_0.tif90.png,0
../img/pos/Im017_1.tif180.png,1
../img/pos/Im008_1.tif,1
../img/pos/Im001_1.tif180.png,1
../img/neg/Im158_0.tif,0
../img/pos/Im028_1.tif180.png,1
../img/neg/Im139_0.tif270.png,0
../img/pos/Im030_1.tif180.png,1
../img/neg/Im149_0.tif270.png,0
../img/pos/Im030_1.tif,1
../img/pos/Im030_1.tif270.png,1
../img/pos/Im010_1.tif90.png,1
../img/neg/Im160_0.tif,0
../img/pos/Im034_1.tif270.png,1
../img/neg/Im160_0.tif270.png,0
../img/neg/Im160_0.tif90.png,0
../img/neg/Im166_0.tif180.png,0
../img/pos/Im010_1.tif,1
../img/neg/Im150_0.tif,0
../img/neg/Im140_0.tif270.png,0
../img/pos/Im023_1.tiff.png,1
../img/pos/Im001_1.tif90.png,1
../img/neg/Im161_0.tif90.png,0
../img/neg/Im161_0.tif,0
